Step,TrueNoise,ResidualNoise,ReductionRatio
586,0.062641,0.024158,61.43
587,0.066418,0.027653,58.37
588,0.069948,0.030154,56.89
589,0.073415,0.031864,56.60
590,0.076590,0.032575,57.47
591,0.079639,0.032518,59.17
592,0.082468,0.031660,61.61
593,0.084973,0.029949,64.75
594,0.087224,0.027540,68.43
595,0.089212,0.024522,72.51
596,0.090996,0.021062,76.85
597,0.092482,0.017149,81.46
598,0.093688,0.012908,86.22
599,0.094520,0.008375,91.14
600,0.095097,0.003788,96.02
601,0.095399,-0.000763,99.20
602,0.095313,-0.005285,94.46
603,0.094808,-0.009718,89.75
604,0.093994,-0.013833,85.28
605,0.092908,-0.106077,-14.17
606,0.091339,-0.155602,-70.36
607,0.163856,-0.117102,28.53
608,0.206752,-0.102610,50.37
609,0.235660,-0.098259,58.30
610,0.257917,-0.095907,62.81
611,0.276031,-0.093358,66.18
612,0.290833,-0.091873,68.41
613,0.303115,-0.089407,70.50
614,0.313270,-0.085475,72.72
615,0.321689,-0.080900,74.85
616,0.328282,-0.075384,77.04
617,0.333417,-0.068074,79.58
618,0.337081,-0.058767,82.57
619,0.339441,-0.047812,85.91
620,0.340580,-0.035117,89.69
621,0.340657,-0.020939,93.85
622,0.339592,-0.005059,98.51
623,0.337531,0.012122,96.41
624,0.334409,0.030669,90.83
625,0.330415,0.052030,84.25
626,0.325494,0.074208,77.20
627,0.319740,0.098368,69.24
628,0.313199,0.125353,59.98
629,0.305777,0.154076,49.61
630,0.297501,0.185840,37.53
631,0.288436,0.221589,23.18
632,0.278666,0.264109,5.22
633,0.268092,0.317391,-18.39
634,0.256784,0.402931,-56.91
635,0.244657,0.469562,-91.93
636,0.231831,0.469532,-102.53
637,0.218128,0.467357,-114.26
638,0.203514,0.462895,-127.45
639,0.187979,0.456036,-142.60
640,0.171386,0.446555,-160.55
641,0.153575,0.434223,-182.74
642,0.134282,0.418714,-211.82
643,0.113210,0.399694,-253.05
644,0.089607,0.376380,-320.03
645,0.062363,0.347636,-457.44
646,0.028765,0.310726,-980.24
647,-0.020825,0.256020,-1129.37
648,-0.080638,0.189329,-134.79
649,-0.081473,0.179905,-120.82
650,-0.082065,0.169054,-106.00
651,-0.082305,0.156955,-90.70
652,-0.082193,0.143694,-74.83
653,-0.081857,0.129212,-57.85
654,-0.081363,0.113554,-39.56
655,-0.080599,0.096953,-20.29
656,-0.079509,0.079567,-0.07
657,-0.078199,0.061404,21.48
658,-0.076588,0.042672,44.28
659,-0.074851,0.023331,68.83
660,-0.072846,0.003668,94.97
661,-0.070731,-0.016318,76.93
662,-0.068434,-0.036396,46.82
663,-0.065886,-0.056350,14.47
664,-0.063285,-0.076235,-20.46
665,-0.060556,-0.095819,-58.23
666,-0.057622,-0.114874,-99.36
667,-0.054708,-0.133490,-144.00
668,-0.051661,-0.151370,-193.01
669,-0.048466,-0.168347,-247.35
670,-0.045206,-0.184384,-307.87
671,-0.041797,-0.199260,-376.73
672,-0.038337,-0.212951,-455.47
673,-0.034925,-0.225442,-545.50
674,-0.031373,-0.236444,-653.66
675,-0.027903,-0.246087,-781.94
676,-0.024279,-0.254041,-946.36
677,-0.020675,-0.260432,-1159.68
678,-0.017121,-0.265232,-1449.13
679,-0.013552,-0.268320,-1879.92
680,-0.010016,-0.269729,-2592.95
681,-0.006466,-0.269411,-4066.78
682,-0.002895,-0.277810,-9497.31
683,0.000740,-0.404792,-54566.14
684,0.004236,-0.456135,-10668.97
685,0.007778,-0.489034,-6187.28
686,0.011389,-0.513814,-4411.32
687,0.014899,-0.530408,-3460.08
688,0.018476,-0.541042,-2828.38
689,0.021941,-0.547353,-2394.62
690,0.025450,-0.549037,-2057.34
691,0.028856,-0.546528,-1793.98
692,0.032277,-0.540210,-1573.66
693,0.035680,-0.531366,-1389.25
694,0.039091,-0.518621,-1226.70
695,0.042416,-0.503169,-1086.29
696,0.045843,-0.484348,-956.54
697,0.049149,-0.463073,-842.17
698,0.052507,-0.438860,-735.81
699,0.055717,-0.411519,-638.59
700,0.058855,-0.381429,-548.08
701,0.061908,-0.349479,-464.52
702,0.064854,-0.315212,-386.03
703,0.067879,-0.279133,-311.22
704,0.070823,-0.240074,-238.98
705,0.073659,-0.200470,-172.16
706,0.076323,-0.159250,-108.65
707,0.079077,-0.113889,-44.02
708,0.081568,-0.066729,18.19
709,0.084024,-0.011578,86.22
710,0.086415,0.049915,42.24
711,0.088626,0.165312,-86.53
712,0.090697,0.173963,-91.81
713,0.092513,0.180674,-95.30
714,0.094235,0.185787,-97.15
715,0.095813,0.189159,-97.43
716,0.097255,0.190663,-96.04
717,0.195156,0.286994,-47.06
718,0.238297,0.326942,-37.20
719,0.271428,0.355190,-30.86
720,0.299237,0.376623,-25.86
721,0.323663,0.393358,-21.53
722,0.345515,0.406071,-17.53
723,0.365387,0.415642,-13.75
724,0.383496,0.422242,-10.10
725,0.400151,0.426287,-6.53
726,0.415530,0.428129,-3.03
727,0.429726,0.428012,0.40
728,0.442806,0.426042,3.79
729,0.454764,0.422412,7.11
730,0.465755,0.417527,10.35
731,0.475764,0.323977,31.90
732,0.484765,0.248439,48.75
733,0.492967,0.190391,61.38
734,0.500336,0.140018,72.02
735,0.506791,0.093170,81.62
736,0.512602,0.048293,90.58
737,0.517509,0.007140,98.62
738,0.521686,-0.033140,93.65
739,0.525121,-0.070729,86.53
740,0.527883,-0.104774,80.15
741,0.529871,-0.136983,74.15
742,0.531175,-0.167205,68.52
743,0.531691,-0.194531,63.41
744,0.531508,-0.219406,58.72
745,0.530769,-0.242513,54.31
746,0.529429,-0.262953,50.33
747,0.527379,-0.280598,46.79
748,0.524796,-0.296649,43.47
749,0.521616,-0.310078,40.55
750,0.517921,-0.319868,38.24
751,0.513634,-0.327169,36.30
752,0.508876,-0.332262,34.71
753,0.503608,-0.334713,33.54
754,0.497849,-0.335256,32.66
755,0.491737,-0.333958,32.09
756,0.485096,-0.329723,32.03
757,0.478166,-0.323702,32.30
758,0.470766,-0.315372,33.01
759,0.463063,-0.304720,34.19
760,0.454949,-0.291668,35.89
761,0.446563,-0.277363,37.89
762,0.437834,-0.260636,40.47
763,0.428861,-0.242020,43.57
764,0.419554,-0.222316,47.01
765,0.410018,-0.200703,51.05
766,0.400154,-0.177810,55.56
767,0.390012,-0.153283,60.70
768,0.379590,-0.127895,66.31
769,0.368987,-0.101612,72.46
770,0.358209,-0.074118,79.31
771,0.347166,-0.045346,86.94
772,0.335848,-0.016541,95.07
773,0.324372,0.012668,96.09
774,0.312677,0.042473,86.42
775,0.300751,0.074274,75.30
776,0.288478,0.106996,62.91
777,0.275944,0.140804,48.97
778,0.263174,0.174632,33.64
779,0.250026,0.211880,15.26
780,0.236601,0.252557,-6.74
781,0.222703,0.300922,-35.12
782,0.208379,0.369174,-77.16
783,0.193508,0.477720,-146.87
784,0.178055,0.463166,-160.13
785,0.161967,0.446197,-175.49
786,0.144908,0.426639,-194.42
787,0.126702,0.404237,-219.05
788,0.107142,0.378958,-253.70
789,0.085457,0.350098,-309.68
790,0.060688,0.316693,-421.84
791,0.030417,0.276473,-808.96
792,-0.012694,0.222183,-1650.26
793,-0.075695,0.146980,-94.17
794,-0.074029,0.135392,-82.89
795,-0.072308,0.123018,-70.13
796,-0.070486,0.110044,-56.12
797,-0.068548,0.096564,-40.87
798,-0.066554,0.082664,-24.21
799,-0.064504,0.068452,-6.12
800,-0.062390,0.054090,13.30
801,-0.060210,0.039675,34.11
